maze_size,algorithm,nodes_explored,path_length,time_taken
5,A* (Manhattan),9,7,1.9073486328125e-05
5,BFS,10,7,1.0967254638671875e-05
5,DFS,8,7,1.2159347534179688e-05
50,A* (Manhattan),914,99,0.003241300582885742
50,BFS,1516,99,0.001153707504272461
50,DFS,216,181,0.00015306472778320312
100,A* (Manhattan),2445,199,0.00421905517578125
100,BFS,6096,199,0.00595402717590332
100,DFS,878,731,0.0007312297821044922
150,A* (Manhattan),4750,299,0.007970094680786133
150,BFS,13745,299,0.014085769653320312
150,DFS,1495,1181,0.0009810924530029297
200,A* (Manhattan),7605,399,0.013186216354370117
200,BFS,24423,399,0.0274660587310791
200,DFS,4454,2855,0.003113985061645508
250,A* (Manhattan),10447,501,0.021095991134643555
250,BFS,38192,501,0.05448007583618164
250,DFS,6684,5057,0.004866838455200195
300,A* (Manhattan),14766,601,0.03206181526184082
300,BFS,55035,601,0.07399177551269531
300,DFS,3191,2571,0.002380847930908203
350,A* (Manhattan),16413,699,0.04793500900268555
350,BFS,74967,699,0.11305975914001465
350,DFS,9487,6993,0.0069561004638671875
400,A* (Manhattan),21660,799,0.05645489692687988
400,BFS,97903,799,0.17009806632995605
400,DFS,13164,9965,0.009696722030639648
450,A* (Manhattan),25835,899,0.07137799263000488
450,BFS,123926,899,0.2522561550140381
450,DFS,9421,7049,0.007319927215576172
500,A* (Manhattan),37549,1001,0.14821767807006836
500,BFS,152994,1001,0.39481115341186523
500,DFS,20708,15223,0.016410112380981445
550,A* (Manhattan),30214,1099,0.10292792320251465
550,BFS,185127,1099,0.600945234298706
550,DFS,15251,11961,0.01494598388671875
600,A* (Manhattan),67151,1203,0.34324193000793457
600,BFS,220417,1203,0.5985112190246582
600,DFS,18290,14013,0.014473915100097656
650,A* (Manhattan),43114,1299,0.21101117134094238
650,BFS,258661,1299,1.0081279277801514
650,DFS,38687,28889,0.0334930419921875
700,A* (Manhattan),55148,1399,0.2372279167175293
700,BFS,300045,1399,1.4667649269104004
700,DFS,31908,23339,0.061615943908691406
750,A* (Manhattan),82225,1499,0.4104130268096924
750,BFS,344575,1499,1.3409767150878906
750,DFS,25685,18373,0.02296280860900879
800,A* (Manhattan),60408,1599,0.32204389572143555
800,BFS,391898,1599,1.692634105682373
800,DFS,30383,22273,0.02581024169921875
850,A* (Manhattan),75751,1699,0.4291961193084717
850,BFS,442520,1699,2.4034430980682373
850,DFS,49597,34817,0.040015220642089844
900,A* (Manhattan),79357,1803,0.48266029357910156
900,BFS,496097,1803,2.6927928924560547
900,DFS,50832,37293,0.05553722381591797
950,A* (Manhattan),120257,1901,0.9096643924713135
950,BFS,552926,1901,2.9477059841156006
950,DFS,70745,52269,0.059088945388793945
1000,A* (Manhattan),94150,1999,0.5763928890228271
1000,BFS,612632,1999,3.6107048988342285
1000,DFS,62128,44491,0.049714088439941406
